,일시,총 매출금액,총 주문건수,년,월,일,년월,평균기온(℃),평균풍속(m/s),강수량(mm),holiday
477,2024-07-18,1144500,36,2024,7,18,2024-07,25.2,1.2,2.9,0.0
478,2024-07-19,1508700,52,2024,7,19,2024-07,23.6,0.9,20.6,0.0
479,2024-07-20,1292000,45,2024,7,20,2024-07,25.5,1.0,1.0,0.0
480,2024-07-21,1616300,55,2024,7,21,2024-07,26.2,1.4,15.6,0.0
481,2024-07-22,853400,18,2024,7,22,2024-07,26.7,1.4,0.0,0.0
482,2024-07-23,1453400,45,2024,7,23,2024-07,26.8,1.3,0.6,0.0
483,2024-07-24,1271100,39,2024,7,24,2024-07,26.4,1.0,18.3,0.0
484,2024-07-25,1739800,58,2024,7,25,2024-07,26.7,1.6,5.7,0.0
485,2024-07-26,1474800,53,2024,7,26,2024-07,25.7,2.8,24.6,0.0
486,2024-07-27,1543300,54,2024,7,27,2024-07,26.0,2.1,18.0,0.0
487,2024-07-28,2260600,61,2024,7,28,2024-07,26.8,1.8,0.0,0.0
488,2024-07-30,1716900,55,2024,7,30,2024-07,26.6,1.9,0.0,0.0
489,2024-07-31,1353800,39,2024,7,31,2024-07,26.5,1.0,0.0,0.0
490,2024-08-01,1176000,35,2024,8,1,2024-08,26.6,1.1,0.0,0.0
491,2024-08-02,1434800,51,2024,8,2,2024-08,28.0,0.9,0.0,0.0
492,2024-08-03,1528000,53,2024,8,3,2024-08,28.5,1.3,0.0,0.0
493,2024-08-04,2165900,78,2024,8,4,2024-08,28.1,1.2,0.0,0.0
494,2024-08-06,1621800,59,2024,8,6,2024-08,26.3,1.1,0.0,0.0
495,2024-08-07,1866300,67,2024,8,7,2024-08,27.3,1.1,0.0,0.0
496,2024-08-08,1220900,41,2024,8,8,2024-08,26.3,1.4,1.8,0.0
497,2024-08-09,1415900,49,2024,8,9,2024-08,25.9,1.1,16.6,0.0
498,2024-08-10,1155100,40,2024,8,10,2024-08,26.4,1.1,0.0,0.0
499,2024-08-11,2339000,83,2024,8,11,2024-08,25.9,1.2,0.0,0.0
500,2024-08-13,1788000,60,2024,8,13,2024-08,25.9,0.9,0.0,0.0
501,2024-08-14,1996600,67,2024,8,14,2024-08,26.5,1.0,0.0,0.0
502,2024-08-15,1028500,35,2024,8,15,2024-08,25.8,1.1,14.0,1.0
503,2024-08-16,1175500,42,2024,8,16,2024-08,25.3,1.2,0.1,0.0
504,2024-08-17,2240000,73,2024,8,17,2024-08,25.1,0.9,0.0,0.0
505,2024-08-18,1480600,52,2024,8,18,2024-08,25.4,1.0,0.0,0.0
506,2024-08-19,769500,28,2024,8,19,2024-08,26.3,0.9,0.2,0.0
507,2024-08-20,1286700,43,2024,8,20,2024-08,26.3,2.1,29.0,0.0
508,2024-08-21,1612800,42,2024,8,21,2024-08,26.4,1.4,23.0,0.0
509,2024-08-23,1171200,41,2024,8,23,2024-08,25.7,1.0,0.0,0.0
510,2024-08-24,1800700,59,2024,8,24,2024-08,26.1,0.9,0.0,0.0
511,2024-08-25,1923700,68,2024,8,25,2024-08,26.2,0.8,3.1,0.0
512,2024-08-26,972800,34,2024,8,26,2024-08,25.6,0.8,0.0,0.0
513,2024-08-27,1567900,52,2024,8,27,2024-08,25.5,0.7,2.0,0.0
514,2024-08-28,1202200,44,2024,8,28,2024-08,25.6,1.5,0.0,0.0
515,2024-08-30,1503400,51,2024,8,30,2024-08,26.3,2.5,0.0,0.0
516,2024-08-31,2281900,84,2024,8,31,2024-08,24.8,2.4,0.0,0.0
517,2024-09-01,1706300,60,2024,9,1,2024-09,24.3,1.0,0.0,0.0
518,2024-09-02,936800,35,2024,9,2,2024-09,24.4,0.8,0.0,0.0
519,2024-09-03,1340000,41,2024,9,3,2024-09,23.8,1.0,0.0,0.0
520,2024-09-04,1225000,43,2024,9,4,2024-09,22.9,1.1,0.0,0.0
521,2024-09-06,1533900,56,2024,9,6,2024-09,24.3,0.6,23.0,0.0
522,2024-09-07,2184700,72,2024,9,7,2024-09,24.2,0.8,0.1,0.0
523,2024-09-08,2023500,68,2024,9,8,2024-09,25.3,0.8,0.0,0.0
524,2024-09-10,1659400,55,2024,9,10,2024-09,26.0,1.1,0.0,0.0
525,2024-09-11,1399300,43,2024,9,11,2024-09,24.6,0.5,52.5,0.0
526,2024-09-12,951400,34,2024,9,12,2024-09,26.0,0.9,1.9,0.0
527,2024-09-13,1486500,49,2024,9,13,2024-09,25.9,1.0,0.4,0.0
528,2024-09-14,1910600,63,2024,9,14,2024-09,26.2,0.7,0.0,0.0
529,2024-09-15,1968000,64,2024,9,15,2024-09,26.3,1.1,0.0,0.0
530,2024-09-16,2580400,78,2024,9,16,2024-09,26.5,1.2,0.0,0.0
531,2024-09-17,3092200,98,2024,9,17,2024-09,27.3,0.9,9.3,0.0
532,2024-09-18,1386800,43,2024,9,18,2024-09,26.7,1.1,0.0,0.0
533,2024-09-21,1094600,35,2024,9,21,2024-09,23.4,1.4,174.4,0.0
534,2024-09-22,1983400,69,2024,9,22,2024-09,20.9,0.7,2.4,0.0
535,2024-09-23,1098000,35,2024,9,23,2024-09,19.3,0.8,0.0,0.0
536,2024-09-24,1371500,43,2024,9,24,2024-09,18.7,0.9,0.0,0.0
537,2024-09-25,1668700,37,2024,9,25,2024-09,20.5,0.9,0.0,0.0
538,2024-09-26,916400,19,2024,9,26,2024-09,21.7,0.8,0.0,0.0
539,2024-09-27,989500,32,2024,9,27,2024-09,21.1,1.4,0.0,0.0
540,2024-09-28,1560500,49,2024,9,28,2024-09,20.7,1.1,0.0,0.0
541,2024-09-29,1898700,58,2024,9,29,2024-09,19.8,1.0,0.0,0.0
542,2024-10-01,1775900,58,2024,10,1,2024-10,17.8,2.2,0.0,0.0
543,2024-10-02,1445100,50,2024,10,2,2024-10,14.8,2.7,0.0,0.0
544,2024-10-03,1643500,56,2024,10,3,2024-10,13.1,2.2,10.0,1.0
545,2024-10-04,1487500,48,2024,10,4,2024-10,14.7,1.2,0.0,0.0
546,2024-10-05,2188500,63,2024,10,5,2024-10,15.3,0.7,0.0,0.0
547,2024-10-06,1695500,55,2024,10,6,2024-10,14.4,0.8,5.3,0.0
548,2024-10-07,940100,30,2024,10,7,2024-10,15.2,1.8,3.3,0.0
549,2024-10-08,1463700,43,2024,10,8,2024-10,16.6,1.8,0.0,0.0
550,2024-10-09,1511100,48,2024,10,9,2024-10,15.7,0.7,0.0,1.0
551,2024-10-10,512300,17,2024,10,10,2024-10,16.5,1.0,0.0,0.0
552,2024-10-11,1779000,56,2024,10,11,2024-10,15.6,0.8,0.0,0.0
553,2024-10-12,1596200,58,2024,10,12,2024-10,14.9,0.8,0.0,0.0
554,2024-10-13,2130200,73,2024,10,13,2024-10,15.3,1.0,0.0,0.0
555,2024-10-15,1801300,63,2024,10,15,2024-10,18.9,0.9,1.0,0.0
556,2024-10-16,1213100,36,2024,10,16,2024-10,18.5,1.1,0.0,0.0
557,2024-10-17,1692200,34,2024,10,17,2024-10,16.5,0.7,0.0,0.0
558,2024-10-18,1417300,46,2024,10,18,2024-10,18.7,0.6,12.0,0.0
559,2024-10-19,1222700,41,2024,10,19,2024-10,18.0,1.7,1.6,0.0
560,2024-10-20,2043000,61,2024,10,20,2024-10,12.2,1.5,0.0,0.0
561,2024-10-21,1453500,39,2024,10,21,2024-10,14.1,0.6,4.5,0.0
562,2024-10-22,1349400,47,2024,10,22,2024-10,17.9,0.9,60.3,0.0
563,2024-10-23,1607100,46,2024,10,23,2024-10,13.3,3.3,0.4,0.0
564,2024-10-25,1800300,55,2024,10,25,2024-10,11.6,0.5,0.0,0.0
565,2024-10-26,2151300,70,2024,10,26,2024-10,13.7,0.8,0.0,0.0
566,2024-10-27,2300200,64,2024,10,27,2024-10,13.7,1.0,0.2,0.0
567,2024-10-29,1524200,44,2024,10,29,2024-10,14.3,0.7,0.0,0.0
568,2024-10-30,2130000,32,2024,10,30,2024-10,13.3,1.1,0.0,0.0
569,2024-10-31,1623000,33,2024,10,31,2024-10,13.2,0.7,0.0,0.0
570,2024-11-01,2219800,63,2024,11,1,2024-11,12.7,0.9,41.3,0.0
571,2024-11-02,2214900,67,2024,11,2,2024-11,15.3,1.8,13.6,0.0
572,2024-11-03,2623700,88,2024,11,3,2024-11,12.6,0.6,0.0,0.0
573,2024-11-05,1201000,32,2024,11,5,2024-11,10.3,4.0,0.0,0.0
574,2024-11-06,2121500,54,2024,11,6,2024-11,8.1,3.2,0.0,0.0
575,2024-11-07,1623100,44,2024,11,7,2024-11,7.6,0.6,0.0,0.0
576,2024-11-08,1792900,46,2024,11,8,2024-11,10.2,0.6,0.0,0.0
577,2024-11-09,1691900,59,2024,11,9,2024-11,11.0,0.7,0.0,0.0
578,2024-11-10,1967700,65,2024,11,10,2024-11,10.9,0.2,0.0,0.0
579,2024-11-12,1427400,44,2024,11,12,2024-11,11.9,2.0,0.0,0.0
580,2024-11-13,1004500,35,2024,11,13,2024-11,10.6,0.8,0.0,0.0
581,2024-11-14,1319700,44,2024,11,14,2024-11,11.5,0.7,0.0,0.0
582,2024-11-15,1978000,58,2024,11,15,2024-11,13.0,0.8,0.1,0.0
583,2024-11-16,1624900,51,2024,11,16,2024-11,16.1,1.0,0.0,0.0
584,2024-11-17,2026100,68,2024,11,17,2024-11,10.8,4.4,0.0,0.0
585,2024-11-19,1876400,58,2024,11,19,2024-11,5.2,0.7,0.0,0.0
586,2024-11-20,1452300,49,2024,11,20,2024-11,8.0,2.2,0.0,0.0
587,2024-11-21,1483100,45,2024,11,21,2024-11,7.5,1.2,0.0,0.0
588,2024-11-22,1481500,44,2024,11,22,2024-11,7.3,2.7,0.0,0.0
589,2024-11-23,2204200,70,2024,11,23,2024-11,4.2,0.7,0.0,0.0
590,2024-11-24,2193800,77,2024,11,24,2024-11,5.9,0.5,0.0,0.0
591,2024-11-25,601700,4,2024,11,25,2024-11,8.7,1.8,1.0,0.0
592,2024-11-26,1547500,48,2024,11,26,2024-11,8.2,4.0,29.2,0.0
593,2024-11-27,1532500,52,2024,11,27,2024-11,2.1,2.9,6.6,0.0
594,2024-11-29,2160700,55,2024,11,29,2024-11,3.3,2.1,6.6,0.0
595,2024-11-30,2140600,68,2024,11,30,2024-11,5.0,2.2,0.0,0.0
596,2024-12-01,1966900,66,2024,12,1,2024-12,5.4,0.5,0.1,0.0
597,2024-12-03,1926400,55,2024,12,3,2024-12,4.4,3.4,0.0,0.0
598,2024-12-04,1864500,36,2024,12,4,2024-12,2.9,2.0,0.0,0.0
599,2024-12-05,1185700,34,2024,12,5,2024-12,5.6,2.9,0.0,0.0
600,2024-12-06,1614700,51,2024,12,6,2024-12,5.1,3.2,0.0,0.0
601,2024-12-07,2016400,66,2024,12,7,2024-12,0.9,2.1,0.1,0.0
602,2024-12-08,1967600,66,2024,12,8,2024-12,1.2,3.6,0.1,0.0
603,2024-12-10,1636200,37,2024,12,10,2024-12,2.7,2.4,0.0,0.0
604,2024-12-11,1621500,47,2024,12,11,2024-12,4.6,3.0,0.0,0.0
605,2024-12-12,1313200,48,2024,12,12,2024-12,2.4,3.5,0.0,0.0
606,2024-12-13,2366700,76,2024,12,13,2024-12,1.6,3.2,0.0,0.0
607,2024-12-14,2103400,72,2024,12,14,2024-12,0.0,3.4,0.0,0.0
608,2024-12-15,2004400,67,2024,12,15,2024-12,2.4,2.0,0.3,0.0
609,2024-12-16,406400,1,2024,12,16,2024-12,1.8,1.9,0.0,0.0
610,2024-12-17,1398100,45,2024,12,17,2024-12,1.7,2.1,0.0,0.0
611,2024-12-18,2073500,46,2024,12,18,2024-12,-0.7,3.6,0.0,0.0
612,2024-12-19,2380000,46,2024,12,19,2024-12,-1.5,2.4,0.0,0.0
613,2024-12-20,1935500,58,2024,12,20,2024-12,-0.5,1.2,0.0,0.0
614,2024-12-21,2044600,67,2024,12,21,2024-12,1.2,3.5,0.8,0.0
615,2024-12-22,2150900,74,2024,12,22,2024-12,-1.4,4.5,0.0,0.0
616,2024-12-24,3226400,87,2024,12,24,2024-12,1.7,2.7,0.0,0.0
617,2024-12-25,2632000,71,2024,12,25,2024-12,0.6,1.5,0.0,1.0
618,2024-12-26,1561100,35,2024,12,26,2024-12,2.3,3.5,0.0,0.0
619,2024-12-27,2533100,43,2024,12,27,2024-12,0.8,3.8,0.0,0.0
620,2024-12-28,2251600,69,2024,12,28,2024-12,-1.3,3.6,1.6,0.0
621,2024-12-29,1625400,58,2024,12,29,2024-12,0.7,1.8,0.0,0.0
622,2024-12-31,2598800,81,2024,12,31,2024-12,3.0,3.9,0.0,0.0
623,2025-01-01,2175200,72,2025,1,1,2025-01,1.0,2.3,0.0,1.0
624,2025-01-03,1639100,41,2025,1,3,2025-01,0.1,2.9,0.0,0.0
625,2025-01-04,2228700,67,2025,1,4,2025-01,0.3,2.3,0.0,0.0
626,2025-01-05,1962800,67,2025,1,5,2025-01,-0.7,0.4,0.5,0.0
627,2025-01-07,2066400,61,2025,1,7,2025-01,-1.7,2.6,1.9,0.0
628,2025-01-08,1810500,50,2025,1,8,2025-01,-0.4,2.6,0.3,0.0
629,2025-01-09,1227900,35,2025,1,9,2025-01,-6.5,4.4,0.4,0.0
630,2025-01-10,2045200,68,2025,1,10,2025-01,-5.6,4.0,0.0,0.0
631,2025-01-11,1720800,53,2025,1,11,2025-01,-2.6,2.0,0.0,0.0
632,2025-01-12,1887600,66,2025,1,12,2025-01,-1.8,2.7,0.0,0.0
633,2025-01-14,3411000,55,2025,1,14,2025-01,2.5,1.9,0.0,0.0
634,2025-01-15,1864200,61,2025,1,15,2025-01,-1.3,4.4,0.0,0.0
635,2025-01-16,1232400,43,2025,1,16,2025-01,0.1,3.1,0.0,0.0
636,2025-01-17,1333000,47,2025,1,17,2025-01,0.5,1.3,0.0,0.0
637,2025-01-18,1433200,48,2025,1,18,2025-01,0.3,0.7,0.0,0.0
638,2025-01-19,1973500,69,2025,1,19,2025-01,0.3,1.3,0.0,0.0
639,2025-01-21,1285100,43,2025,1,21,2025-01,1.0,1.7,0.0,0.0
640,2025-01-22,1907400,40,2025,1,22,2025-01,1.8,1.2,0.0,0.0
641,2025-01-23,1172900,39,2025,1,23,2025-01,2.3,1.4,0.0,0.0
642,2025-01-24,1593000,49,2025,1,24,2025-01,2.2,0.6,0.0,0.0
643,2025-01-25,1908100,63,2025,1,25,2025-01,2.9,1.2,0.0,0.0
644,2025-01-26,2017600,71,2025,1,26,2025-01,2.2,1.2,0.0,0.0
645,2025-01-27,1790700,58,2025,1,27,2025-01,-0.1,2.9,1.6,0.0
646,2025-01-28,1959600,57,2025,1,28,2025-01,-1.8,4.8,0.2,0.0
647,2025-01-29,2735500,82,2025,1,29,2025-01,-2.2,4.0,0.0,0.0
648,2025-01-30,1674200,52,2025,1,30,2025-01,-2.6,1.0,0.0,0.0
649,2025-01-31,2174000,65,2025,1,31,2025-01,-0.5,0.3,0.7,0.0
650,2025-02-01,1947100,60,2025,2,1,2025-02,2.5,0.9,16.3,0.0
651,2025-02-02,1733100,38,2025,2,2,2025-02,3.1,2.6,0.0,0.0
652,2025-02-04,2369600,70,2025,2,4,2025-02,-5.7,4.0,0.3,0.0
653,2025-02-05,1526800,48,2025,2,5,2025-02,-5.5,2.8,0.4,0.0
654,2025-02-07,447000,3,2025,2,7,2025-02,-5.9,3.3,3.0,0.0
655,2025-02-08,2389900,80,2025,2,8,2025-02,-6.1,4.0,0.1,0.0
656,2025-02-09,1967600,66,2025,2,9,2025-02,-3.7,3.7,0.0,0.0
657,2025-02-11,1347500,47,2025,2,11,2025-02,-0.9,1.0,0.0,1.0
658,2025-02-12,1535000,43,2025,2,12,2025-02,0.9,2.1,12.3,0.0
659,2025-02-13,1937400,53,2025,2,13,2025-02,0.7,4.3,0.0,0.0
660,2025-02-14,1363500,47,2025,2,14,2025-02,1.8,2.1,0.0,0.0
661,2025-02-15,824500,29,2025,2,15,2025-02,0.6,0.6,0.0,0.0
662,2025-02-16,1841700,62,2025,2,16,2025-02,4.3,2.5,0.0,0.0
663,2025-02-18,1703500,56,2025,2,18,2025-02,-1.2,4.9,0.0,0.0
664,2025-02-19,1944700,63,2025,2,19,2025-02,-1.7,4.0,0.0,0.0
665,2025-02-20,1785300,62,2025,2,20,2025-02,-1.8,3.3,0.0,0.0
666,2025-02-21,1744300,62,2025,2,21,2025-02,-1.7,3.6,0.0,0.0
667,2025-02-22,1693100,58,2025,2,22,2025-02,-1.4,3.6,0.0,0.0
668,2025-02-23,2298000,76,2025,2,23,2025-02,-2.7,4.2,0.0,0.0
669,2025-02-25,1303900,47,2025,2,25,2025-02,2.0,2.9,0.0,0.0
670,2025-02-26,1479400,51,2025,2,26,2025-02,4.2,2.5,0.0,0.0
671,2025-02-27,2148100,58,2025,2,27,2025-02,3.5,1.2,0.5,0.0
672,2025-02-28,1942200,61,2025,2,28,2025-02,7.3,1.0,0.8,0.0
673,2025-03-01,1659900,56,2025,3,1,2025-03,6.4,0.4,6.5,0.0
674,2025-03-02,2300500,81,2025,3,2,2025-03,10.9,1.2,3.7,0.0
675,2025-03-03,1322700,42,2025,3,3,2025-03,4.8,2.0,7.6,0.0
676,2025-03-04,1568500,51,2025,3,4,2025-03,3.7,1.6,5.6,0.0
677,2025-03-05,1300600,46,2025,3,5,2025-03,4.3,0.7,2.1,0.0
678,2025-03-06,1348900,41,2025,3,6,2025-03,4.7,2.8,0.0,0.0
679,2025-03-07,1537000,53,2025,3,7,2025-03,3.5,1.2,0.0,0.0
680,2025-03-08,2082600,63,2025,3,8,2025-03,3.9,0.9,0.0,0.0
681,2025-03-09,1963000,67,2025,3,9,2025-03,4.5,1.3,0.0,0.0
682,2025-03-11,1346100,45,2025,3,11,2025-03,6.9,1.0,0.0,0.0
683,2025-03-12,1120200,39,2025,3,12,2025-03,8.9,2.2,0.0,0.0
684,2025-03-13,1375600,39,2025,3,13,2025-03,10.1,2.1,0.0,0.0
685,2025-03-14,1813500,63,2025,3,14,2025-03,10.4,1.7,0.0,0.0
686,2025-03-15,2217600,80,2025,3,15,2025-03,7.8,1.8,3.1,0.0
687,2025-03-16,2182200,77,2025,3,16,2025-03,3.6,4.1,0.1,0.0
688,2025-03-18,2102500,59,2025,3,18,2025-03,-0.1,3.4,2.0,0.0
689,2025-03-19,1405200,46,2025,3,19,2025-03,1.6,3.1,0.0,0.0
690,2025-03-20,1388200,39,2025,3,20,2025-03,5.4,2.0,0.0,0.0
691,2025-03-21,1552000,56,2025,3,21,2025-03,9.8,2.0,0.0,0.0
692,2025-03-22,2196200,58,2025,3,22,2025-03,11.6,1.8,0.0,0.0
693,2025-03-23,2311600,80,2025,3,23,2025-03,12.9,1.2,0.0,0.0
694,2025-03-24,931400,32,2025,3,24,2025-03,14.6,2.0,0.0,0.0
695,2025-03-25,1873500,50,2025,3,25,2025-03,14.7,2.7,0.0,0.0
696,2025-03-26,1016000,33,2025,3,26,2025-03,14.0,2.1,0.0,0.0
697,2025-03-27,891800,30,2025,3,27,2025-03,14.5,2.7,0.0,0.0
698,2025-03-28,1806500,56,2025,3,28,2025-03,6.5,4.7,0.0,0.0
699,2025-03-29,2138200,71,2025,3,29,2025-03,3.4,3.8,0.0,0.0
700,2025-03-30,2147900,78,2025,3,30,2025-03,2.4,2.9,0.0,0.0
701,2025-04-01,1519400,52,2025,4,1,2025-04,6.5,1.2,0.0,0.0
702,2025-04-02,1569800,53,2025,4,2,2025-04,7.9,1.9,0.0,0.0
703,2025-04-03,1564900,50,2025,4,3,2025-04,7.3,1.4,0.0,0.0
704,2025-04-04,2191500,67,2025,4,4,2025-04,8.7,1.4,0.0,0.0
705,2025-04-05,2136900,71,2025,4,5,2025-04,9.2,1.4,1.4,0.0
706,2025-04-06,2263900,82,2025,4,6,2025-04,9.2,2.5,0.0,0.0
707,2025-04-08,2105200,60,2025,4,8,2025-04,12.7,3.1,0.0,0.0
708,2025-04-09,1199000,43,2025,4,9,2025-04,10.6,1.4,0.0,0.0
709,2025-04-10,1893400,46,2025,4,10,2025-04,13.2,2.4,0.0,0.0
710,2025-04-11,1392900,48,2025,4,11,2025-04,12.8,1.2,0.0,0.0
711,2025-04-12,2237500,77,2025,4,12,2025-04,10.3,2.4,34.3,0.0
712,2025-04-13,2499300,81,2025,4,13,2025-04,5.8,4.0,2.5,0.0
713,2025-04-15,1629100,53,2025,4,15,2025-04,7.8,3.3,0.0,0.0
714,2025-04-16,2087600,68,2025,4,16,2025-04,13.0,1.5,0.0,0.0
715,2025-04-17,356900,14,2025,4,17,2025-04,13.0,1.5,0.0,0.0
